Date	Open	High	Low	Close 	Adj Close 	Volume
Jul 16, 2025	3,139.99	3,146.61	3,106.31	3,114.90	3,114.90	36,736,364,544
Jul 14, 2025	2,973.23	3,079.99	2,965.32	3,013.35	3,013.35	36,349,290,556
Jul 13, 2025	2,942.85	3,016.39	2,938.74	2,973.36	2,973.36	17,361,753,131
Jul 12, 2025	2,958.33	2,979.78	2,907.19	2,942.91	2,942.91	16,317,198,254
Jul 11, 2025	2,954.83	3,038.14	2,916.96	2,957.89	2,957.89	36,226,558,863
Jul 10, 2025	2,770.74	2,995.15	2,757.27	2,954.85	2,954.85	33,929,201,261
Jul 9, 2025	2,615.51	2,794.52	2,591.95	2,770.78	2,770.78	27,229,452,849
Jul 8, 2025	2,542.97	2,626.66	2,525.44	2,615.51	2,615.51	17,537,487,206
Jul 7, 2025	2,571.40	2,589.32	2,517.90	2,543.01	2,543.01	18,440,266,947
Jul 6, 2025	2,517.28	2,603.06	2,505.37	2,571.24	2,571.24	13,190,436,110
Jul 5, 2025	2,508.10	2,529.84	2,489.00	2,517.28	2,517.28	9,289,382,302
Jul 4, 2025	2,590.85	2,601.12	2,475.75	2,508.52	2,508.52	17,222,740,209
Jul 3, 2025	2,570.80	2,635.19	2,558.58	2,591.01	2,591.01	20,873,559,425
Jul 2, 2025	2,405.86	2,616.78	2,378.39	2,571.34	2,571.34	22,792,512,025
Jul 1, 2025	2,486.43	2,500.59	2,389.82	2,405.79	2,405.79	15,025,451,796
Jun 30, 2025	2,500.61	2,521.72	2,438.05	2,486.46	2,486.46	16,859,727,663
Jun 29, 2025	2,437.11	2,523.32	2,417.63	2,500.96	2,500.96	12,500,580,479
Jun 28, 2025	2,423.93	2,448.19	2,407.76	2,437.11	2,437.11	8,273,074,809
Jun 27, 2025	2,416.02	2,463.15	2,386.32	2,423.87	2,423.87	15,309,834,970
Jun 26, 2025	2,419.15	2,519.62	2,399.53	2,416.15	2,416.15	18,300,413,888
Jun 25, 2025	2,448.74	2,468.68	2,394.61	2,419.31	2,419.31	17,158,118,625
Jun 24, 2025	2,421.83	2,481.22	2,379.57	2,448.01	2,448.01	19,539,047,009
Jun 23, 2025	2,228.48	2,434.24	2,191.42	2,421.82	2,421.82	26,247,439,429
Jun 22, 2025	2,298.84	2,313.85	2,116.68	2,228.21	2,228.21	28,458,151,601
Jun 21, 2025	2,407.35	2,448.41	2,222.81	2,300.50	2,300.50	16,108,791,762
Jun 20, 2025	2,521.53	2,569.01	2,371.47	2,407.30	2,407.30	22,592,586,688
Jun 19, 2025	2,524.40	2,546.77	2,486.10	2,521.65	2,521.65	12,782,730,709
Jun 18, 2025	2,510.82	2,546.63	2,469.05	2,524.30	2,524.30	19,873,957,905
Jun 17, 2025	2,540.31	2,617.90	2,456.65	2,510.76	2,510.76	25,653,232,897
Jun 16, 2025	2,547.23	2,680.09	2,517.15	2,540.60	2,540.60	22,792,449,577
Jun 15, 2025	2,533.18	2,558.68	2,493.20	2,546.84	2,546.84	13,961,893,828
Jun 14, 2025	2,579.72	2,580.16	2,491.49	2,533.44	2,533.44	14,285,000,473
Jun 13, 2025	2,651.92	2,651.92	2,443.96	2,579.49	2,579.49	37,986,747,138
Jun 12, 2025	2,773.60	2,784.26	2,619.97	2,651.80	2,651.80	25,924,959,613
Jun 11, 2025	2,813.74	2,877.63	2,746.46	2,773.53	2,773.53	30,705,408,054
Jun 10, 2025	2,681.29	2,824.81	2,658.68	2,813.52	2,813.52	35,555,755,055
Jun 9, 2025	2,510.84	2,693.81	2,479.87	2,681.52	2,681.52	20,605,172,560
Jun 8, 2025	2,526.19	2,547.47	2,493.92	2,510.79	2,510.79	12,097,170,203
Jun 7, 2025	2,477.18	2,543.05	2,459.14	2,526.51	2,526.51	11,664,303,387
Jun 6, 2025	2,416.46	2,530.39	2,387.61	2,477.19	2,477.19	19,407,449,565
Jun 5, 2025	2,608.61	2,640.60	2,395.75	2,416.29	2,416.29	26,194,462,737
Jun 4, 2025	2,593.48	2,677.97	2,585.74	2,608.64	2,608.64	18,621,211,035
Jun 3, 2025	2,607.20	2,652.42	2,582.25	2,593.28	2,593.28	18,291,179,016
Jun 2, 2025	2,536.18	2,615.52	2,477.29	2,607.10	2,607.10	16,744,168,824
Jun 1, 2025	2,529.10	2,547.77	2,472.54	2,536.27	2,536.27	13,287,852,482
May 31, 2025	2,529.83	2,550.48	2,484.22	2,529.09	2,529.09	13,992,843,765
May 30, 2025	2,632.84	2,648.26	2,510.16	2,529.94	2,529.94	24,599,403,943
May 29, 2025	2,681.84	2,784.75	2,620.98	2,632.65	2,632.65	27,567,479,811
May 28, 2025	2,663.01	2,688.74	2,611.16	2,682.21	2,682.21	19,087,366,068
May 27, 2025	2,564.14	2,712.29	2,512.59	2,663.07	2,663.07	26,264,200,536
May 26, 2025	2,551.38	2,598.57	2,530.32	2,564.14	2,564.14	14,936,610,009
May 25, 2025	2,530.89	2,553.87	2,467.88	2,551.76	2,551.76	14,556,431,364
May 24, 2025	2,526.39	2,575.13	2,516.02	2,530.65	2,530.65	11,380,899,856
May 23, 2025	2,664.08	2,731.22	2,504.87	2,526.44	2,526.44	30,536,501,878
May 22, 2025	2,552.77	2,691.10	2,546.43	2,664.16	2,664.16	26,596,978,352
May 21, 2025	2,524.16	2,614.06	2,454.54	2,552.35	2,552.35	31,952,904,125
May 20, 2025	2,529.14	2,585.62	2,446.45	2,524.17	2,524.17	23,453,322,578
May 19, 2025	2,498.80	2,545.46	2,353.43	2,529.17	2,529.17	27,351,331,811
May 18, 2025	2,475.77	2,585.70	2,344.67	2,498.23	2,498.23	25,005,164,865
May 17, 2025	2,536.30	2,537.78	2,449.07	2,475.75	2,475.75	18,830,706,230
May 16, 2025	2,547.06	2,645.61	2,532.03	2,536.30	2,536.30	21,298,907,763
May 15, 2025	2,610.03	2,645.07	2,482.21	2,546.86	2,546.86	26,637,688,883
May 14, 2025	2,680.26	2,721.95	2,549.69	2,610.06	2,610.06	26,602,676,588
May 13, 2025	2,496.34	2,736.89	2,418.33	2,680.13	2,680.13	33,528,741,590
May 12, 2025	2,510.29	2,620.90	2,411.59	2,496.40	2,496.40	32,121,858,921
May 11, 2025	2,582.71	2,603.26	2,441.73	2,510.24	2,510.24	26,496,368,543
May 10, 2025	2,345.76	2,597.54	2,320.24	2,582.42	2,582.42	30,265,913,403
May 9, 2025	2,206.13	2,486.01	2,186.05	2,345.51	2,345.51	43,766,026,875
May 8, 2025	1,811.55	2,222.21	1,809.46	2,206.51	2,206.51	37,777,245,241
May 7, 2025	1,815.02	1,849.66	1,788.69	1,811.61	1,811.61	50,540,755,039
